CODIGO,ATIVIDADE,ESCORE,RACIONAL
111300,CULTIVO DE CEREAIS,10,Risco remoto de envolvimento com atividades ilIcitas
111301,CULTIVO DE ARROZ,10,Risco remoto de envolvimento com atividades ilIcitas
111302,CULTIVO DE MILHO,10,Risco remoto de envolvimento com atividades ilIcitas
111303,CULTIVO DE TRIGO,10,Risco remoto de envolvimento com atividades ilIcitas
111399,CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
112100,CULTIVO DE ALGODAO HERBACEO E DE OUTRAS FIBRAS DE LAVOURA TEMPORA,10,Risco remoto de envolvimento com atividades ilIcitas
112101,CULTIVO DE ALGODAO HERBACEO,10,Risco remoto de envolvimento com atividades ilIcitas
112102,CULTIVO DE JUTA,10,Risco remoto de envolvimento com atividades ilIcitas
112199,CULT OUTRAS FIBRAS LAVOURA TEMPORARIA NAO ESPEC ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
113000,CULTIVO DE CANA-DE-ACUCAR,70,Risco de envolvimento com crime organizado e lavagem de dinheiro
114800,CULTIVO DE FUMO,70,"Risco de envolvimento com crime organizado, sonegaCAo fiscal e lavagem de dinheiro"
115600,CULTIVO DE SOJA,10,Risco remoto de envolvimento com atividades ilIcitas
116400,"CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORARIA, EXCETO SOJA",10,Risco remoto de envolvimento com atividades ilIcitas
116401,CULTIVO DE AMENDOIM,10,Risco remoto de envolvimento com atividades ilIcitas
116402,CULTIVO DE GIRASSOL,10,Risco remoto de envolvimento com atividades ilIcitas
116403,CULTIVO DE MAMONA,10,Risco remoto de envolvimento com atividades ilIcitas
116499,CULT OUTRAS OLEAGINOSAS LAVOURA TEMPORARIA NAO ESPEC ANTERIOR,10,Risco remoto de envolvimento com atividades ilIcitas
119900,CULT PLANTAS LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
119901,CULTIVO DE ABACAXI,10,Risco remoto de envolvimento com atividades ilIcitas
119902,CULTIVO DE ALHO,10,Risco remoto de envolvimento com atividades ilIcitas
119903,CULTIVO DE BATATA-INGLESA,10,Risco remoto de envolvimento com atividades ilIcitas
119904,CULTIVO DE CEBOLA,10,Risco remoto de envolvimento com atividades ilIcitas
119905,CULTIVO DE FEIJAO,10,Risco remoto de envolvimento com atividades ilIcitas
119906,CULTIVO DE MANDIOCA,10,Risco remoto de envolvimento com atividades ilIcitas
119907,CULTIVO DE MELAO,10,Risco remoto de envolvimento com atividades ilIcitas
119908,CULTIVO DE MELANCIA,10,Risco remoto de envolvimento com atividades ilIcitas
119909,CULTIVO DE TOMATE RASTEIRO,10,Risco remoto de envolvimento com atividades ilIcitas
119999,CULT OUTRAS PLANTAS LAVOURA TEMPORARIA NAO ESPECI ANTERIORMENTE,10,Risco remoto de envolvimento com atividades ilIcitas
121100,HORTICULTURA,10,Risco remoto de envolvimento com atividades ilIcitas
121101,"HORTICULTURA, EXCETO MORANGO",10,Risco remoto de envolvimento com atividades ilIcitas
121102,CULTIVO DE MORANGO,10,Risco remoto de envolvimento com atividades ilIcitas
122900,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS,10,Risco remoto de envolvimento com atividades ilIcitas
131800,CULTIVO DE LARANJA,10,Risco remoto de envolvimento com atividades ilIcitas
132600,CULTIVO DE UVA,10,Risco remoto de envolvimento com atividades ilIcitas
