CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
01109-000	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
01156-110	Região de Rodoviária		SP	São Paulo	Barra Funda	Rodoviária São Paulo - Barra Funda 	Link indisponível													
01201-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-001	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-010	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-020	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-030	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-040	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-050	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-060	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-900	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-901	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-902	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-903	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01201-904	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01202-000	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01202-001	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01202-002	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01202-003	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
